prd_id	prd_nam
zg	壮骨
yxs36	益血生36
blg5*12	板蓝根颗粒5*12
blg5*20	板蓝根颗粒5*20
bzkz	999爆珠口罩
afhww	小儿氨酚(好娃娃)
dlltd	地氯雷他定
amxl20	阿莫西林20粒
wssdjn	维生素D胶囊
bzwssp120	B族维生素片120
fmjj	辅酶咀嚼片
fjlz	蜂胶灵芝胶囊
ddlz	大豆磷脂维E胶囊
hlbs	胡萝卜素胶囊
tkzrg	酮康唑乳膏
xys12	西洋参片12袋
blf20	布洛芬20袋
htjc10	红糖姜茶10袋
wcjjnm	维C咀嚼片柠檬味
fj60	蜂胶软胶囊
xysjn	西洋参胶囊
zktj10*10	止咳糖浆10*10
htjcqs	黑糖姜茶轻松版
htjcty	黑糖姜茶体验版
bzwssp20	B族维生素片20
wcjjtc	维C咀嚼片甜橙味
kbdbl15	抗病毒（玻璃瓶）15支
ysf96	易善复96
ltsmjjp	铝碳酸镁咀嚼片
xkckfy10	小儿咳喘灵口服液10支
999bwy	999必无忧
xrsmp150	鲜人参蜜片150g
ppt	999枇杷糖
tkznj	复方酮康唑凝胶
anj	奥尼捷
ysf36	易善复36
bnjn8*5*200	必诺胶囊8*5*200
yxs48	益血生48
aqms	阿奇霉素
ycyy10	阳春玉液10支
qarg30	皮炎平金色装30g
ysj30	益生菌固体饮料30袋
wssdjn20	维生素D胶囊20粒
wcnm	维C泡腾片柠檬味
htjc	黑糖姜茶
yydbzf	营养蛋白质粉
adbzkz	999爱戴爆珠口罩
cbzkl120	川贝止咳露120
wctc20	维C甜橙味20*0.65g
wctcx90	小儿维C甜橙味90
bx9	表虚感冒颗粒9袋
wssdjn45	维生素D胶囊45
lzpzy60	灵芝孢子油60
lzpzyx	灵芝孢子油新
sbhj	肾宝合剂
bbcxq	鼻部冲洗器
dxyyjn	多烯鱼油胶囊
jydbnx	胶原蛋白奶昔
htjc9YOUNG	红糖姜茶9YOUNG
rgsgp60	软骨素钙维D片60
extkl12	儿泻停颗粒12袋
zyfsx	左氧氟沙星
ldxg10	龙胆泻肝丸10
htjcjl9	红糖姜茶加辣版
ysaxs60	盐酸氨溴索60
wcjjtc60	维C咀嚼片甜橙味60
wcjjnm60	维C咀嚼片柠檬味60
yws56	养胃舒56袋
lzpzy	灵芝孢子油
kslgy	开塞露(海外)
fyj	风油精
wssc60	维生素C咀嚼片60
wccmx90	小儿维C草莓味90
yjy	999抑菌液
estwj	额式体温计
dztwj	电子体温计
xdzl	免洗手消毒啫喱
jjxdy	酒精消毒液
wctc60	维C甜橙味60*0.65g
xgtls24	锌钙特铝塑盒24
xgtth120	锌钙特铁盒120
xgt48	锌钙特48
xgtth60	锌钙特铁盒60
xgt20	锌钙特20
xgtet36	锌钙特儿童36
xgt12	锌钙特12
xgt6	锌钙特6
xgt30	锌钙特30
xgt18	锌钙特18
xgt24	锌钙特24
xgt24*5	锌钙特24*5
sx7*10*8	麝香7*10*8
zt20	正天20袋
ysaxs5*10	盐酸氨溴索5*10
pttsx18	葡萄糖酸锌18支
xkckfy6	小儿咳喘灵口服液6支
jexs	健儿消食口服液6支
ldxg20	龙胆泻肝丸20
gk12	钙口服液12支
bwypw	必无忧喷雾
bwynj	必无忧凝胶
ext1*12	儿泻停颗粒1*12
qzwt21	气滞胃痛21袋
xtrt110*50	小儿退热贴110*50
xtrt90*40	小儿退热贴90*40
nrjjp60	牛乳咀嚼片60
fblg10	复方板蓝根10袋
fblg20	复方板蓝根20袋
adbzh	999爱戴爆珠口罩(黑色款)
xkc150	小儿咳喘灵颗粒150
ckt(tqx)60*120	创可贴(透气型)60*120
thsb6p40	褪黑素B6片40
lzpz10	灵芝孢子粉10
jj	基金
zpp	主品牌
skcpb	商控产品包
wrjhs225	维柔精华霜225
wrjhs100	维柔精华霜100
wrjhr300	维柔精华乳300
wrjhr100	维柔精华乳100
yxs144	益血生144
rtdb60	乳铁蛋白60
gtpib11*14*6	骨通（PIB）11*14*6
nrypt	牛乳压片糖
wcpt	维C泡腾片
bzwssp	B族维生素片
kwzjj	矿物质咀嚼片
wcjj60	维C咀嚼片60
wcjj25	维C咀嚼片25
wcjj20	维C咀嚼片20
xchkl15	小柴胡颗粒15袋
ycyy24	阳春玉液24支
htjc14	红糖姜茶14袋
yws24	养胃舒24粒
yxs84(OTC)	益血生84(OTC)
gkfy10	钙口服液10支
lltj50	氯雷他定糖浆50
kbdbl8	抗病毒（玻璃瓶）18支
adbzkza	999爱戴爆珠口罩(混合款)
gmlgd	感冲（高端）
zfxj7*10*6	追风（橡胶）7*10*6
adbz	999爱戴爆珠口罩中号
dddt	大豆多肽蛋白粉
ltsmjjp24	铝碳酸镁咀嚼片24片
ffbbzk	复方百部止咳
jlh	金莲花口服液
qrjd	清热解毒口服液
cghdh	999鹤顶红唇膏
cggtc	999够坦橙唇膏
xst8	血塞通8
xst36	血塞通36
xst30	血塞通30
sxt20	血塞通20
xst60	血塞通60
xst12	血塞通12
xst24	血塞通24
shp24	三黄片24
hamd500	磺胺嘧啶500g
hamd25	磺胺嘧啶25g
hst16	黄藤素16
hts12	黄藤素12
hts24	黄藤素24
wejn100	维E胶囊100
ncrdbzf500	牛初乳蛋白质粉500
yydbzf500	营养蛋白质粉500
qxc8	小儿七星茶8袋
yjy60	999抑菌液60
lzsq30	绿之双歧30袋
lzsq10	绿之双歧10袋
lzqz30	绿之青汁30袋
lzqz10	绿之青汁10袋
yxwt36	阴虚胃痛36
ygqr9	乙肝清热9
laqg	赖氨酸磷酸氢钙
xst120	血塞通120
xst24(维文版)	血塞通24(维文版)
qzwtp	气滞胃痛片
yplsgtx90	益普利生钙铁锌咀嚼片90
yplsgtx20	益普利生钙铁锌咀嚼片20
ncrf30	牛初乳粉30
rsj450	人参酒450
kln30	苦乐宁30
yykz10	医用口罩10
yykzd10	医用口罩独立装10
ysaxs80	盐酸氨溴索80
cbqf100	川贝清肺100
adbzbm	999爱戴爆珠口罩(白色M码)
